JTWID,PERSID,HHID,ORIGSLA,ORIGLGA,STARTHOUR,DESTSLA,DESTLGA,ARRHOUR,JTWMODE,JTWDIST,JTWTravelTime,JTWElapsedTime,TRAVELPERIOD,ADJTWWGT,WDJTWWGT,WEJTWWGT
Y09H075232P02JTW1,Y09H075232P02,Y09H075232,Yarra Ranges (S) - Central,Yarra Ranges (S),21,Maroondah (C) - Ringwood,Maroondah (C),21,Vehicle Driver,27.07,30,30,Off Peak,112.3767315,160.9131922, 
Y09H075233P02JTW1,Y09H075233P02,Y09H075233,Yarra Ranges (S) - Central,Yarra Ranges (S),5,Gr. Dandenong (C) - Balance,Greater Dandenong (C),7,Vehicle Driver,44.92,55,150,AM Peak (7am to 9am),117.4467679,168.7551639, 
Y09H080101P01JTW1,Y09H080101P01,Y09H080101,Bayside (C) - Brighton,Bayside (C),6,Yarra (C) - Richmond,Yarra (C),7,Public Bus,13.02,78,78,AM Peak (7am to 9am),123.9974075,160.6931984, 
Y09H080103P01JTW1,Y09H080103P01,Y09H080103,Bayside (C) - Brighton,Bayside (C),8,Bayside (C) - Brighton,Bayside (C),10,Vehicle Driver,5.99,25,105,AM Peak (7am to 9am),120.5199388,166.3099346, 
Y09H080103P01JTW2,Y09H080103P01,Y09H080103,Bayside (C) - Brighton,Bayside (C),14,Bayside (C) - Brighton,Bayside (C),14,Vehicle Driver,2.19,5,5,Off Peak,120.5199388,166.3099346, 
Y09H080115P01JTW1,Y09H080115P01,Y09H080115,Bayside (C) - Brighton,Bayside (C),8,Melbourne (C) - Inner,Melbourne (C),9,Vehicle Driver,10.97,30,30,AM Peak (7am to 9am),87.42109892,115.2285044, 
Y09H080119P03JTW1,Y09H080119P03,Y09H080119,Bayside (C) - Brighton,Bayside (C),8,Glen Eira (C) - Caulfield,Glen Eira (C),9,Vehicle Driver,6.39,30,30,AM Peak (7am to 9am),83.66005363,110.3041315, 
Y09H080124P01JTW1,Y09H080124P01,Y09H080124,Bayside (C) - Brighton,Bayside (C),8,Melbourne (C) - Inner,Melbourne (C),8,Bicycle,11.04,40,40,AM Peak (7am to 9am),81.05875877,107.2268738, 
Y09H080124P02JTW1,Y09H080124P02,Y09H080124,Bayside (C) - Brighton,Bayside (C),14,Melbourne (C) - Inner,Melbourne (C),15,Train,14.13,60,60,Off Peak,75.43301871,99.99487129, 
Y09H080129P01JTW1,Y09H080129P01,Y09H080129,Bayside (C) - Brighton,Bayside (C),7,Whitehorse (C) - Nunawading W.,Whitehorse (C),7,Vehicle Driver,23.78,45,45,AM Peak (7am to 9am),124.9216118,192.0442749, 
Y09H080136P02JTW1,Y09H080136P02,Y09H080136,Bayside (C) - Brighton,Bayside (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,14.49,65,65,AM Peak (7am to 9am),161.697188,219.3513338, 
Y09H080137P01JTW1,Y09H080137P01,Y09H080137,Bayside (C) - Brighton,Bayside (C),8,Melbourne (C) - Inner,Melbourne (C),9,Vehicle Driver,11.03,30,30,AM Peak (7am to 9am),99.42078858,133.6586269, 
Y09H080138P02JTW1,Y09H080138P02,Y09H080138,Bayside (C) - Brighton,Bayside (C),12,Port Phillip (C) - West,Port Phillip (C),12,Vehicle Driver,8.11,25,25,Off Peak,123.0673937,164.7078082, 
Y09H080139P02JTW1,Y09H080139P02,Y09H080139,Bayside (C) - Brighton,Bayside (C),8,Bayside (C) - Brighton,Bayside (C),14,Vehicle Driver,22.81,45,365,AM Peak (7am to 9am),64.57493575,84.69175118, 
Y09H080204P01JTW1,Y09H080204P01,Y09H080204,Glen Eira (C) - Caulfield,Glen Eira (C),8,Monash (C) - Waverley West,Monash (C),8,Bicycle,7.92,22,22,AM Peak (7am to 9am),160.2214356,198.4529707, 
Y09H080204P02JTW1,Y09H080204P02,Y09H080204,Glen Eira (C) - Caulfield,Glen Eira (C),8,Kingston (C) - North,Kingston (C),9,Vehicle Driver,5.49,20,20,AM Peak (7am to 9am),144.5864793,176.3897507, 
Y09H080211P01JTW1,Y09H080211P01,Y09H080211,Glen Eira (C) - Caulfield,Glen Eira (C),9,Yarra (C) - Richmond,Yarra (C),9,Vehicle Driver,12.14,35,35,Off Peak,147.7163445,184.9166056, 
Y09H080211P02JTW1,Y09H080211P02,Y09H080211,Glen Eira (C) - Caulfield,Glen Eira (C),8,Glen Eira (C) - South,Glen Eira (C),9,Vehicle Passenger,4.45,15,15,AM Peak (7am to 9am),169.0262081,210.9174372, 
Y09H080211P03JTW1,Y09H080211P03,Y09H080211,Glen Eira (C) - Caulfield,Glen Eira (C),8,Monash (C) - South-West,Monash (C),8,Train,7.02,31,31,AM Peak (7am to 9am),254.728159,311.8631616, 
Y09H080211P04JTW1,Y09H080211P04,Y09H080211,Glen Eira (C) - Caulfield,Glen Eira (C),8,Glen Eira (C) - South,Glen Eira (C),9,Vehicle Driver,4.45,15,15,AM Peak (7am to 9am),243.4357461,298.0378837, 
Y09H080216P01JTW1,Y09H080216P01,Y09H080216,Glen Eira (C) - Caulfield,Glen Eira (C),7,Melbourne (C) - Inner,Melbourne (C),7,Bicycle,15.11,38,38,AM Peak (7am to 9am),153.9632383,222.7465872, 
Y09H080219P03JTW1,Y09H080219P03,Y09H080219,Glen Eira (C) - Caulfield,Glen Eira (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,15.98,48,48,AM Peak (7am to 9am),157.0975299,221.3094139, 
Y09H080225P02JTW1,Y09H080225P02,Y09H080225,Glen Eira (C) - Caulfield,Glen Eira (C),7,Hobsons Bay (C) - Altona,Hobsons Bay (C),8,Vehicle Driver,27.94,50,50,AM Peak (7am to 9am),189.1693999,279.3905145, 
Y09H080229P01JTW1,Y09H080229P01,Y09H080229,Glen Eira (C) - Caulfield,Glen Eira (C),5,Melbourne (C) - Inner,Melbourne (C),5,Vehicle Driver,15.15,27,27,Off Peak,403.9472317,634.3934929, 
Y09H080231P01JTW1,Y09H080231P01,Y09H080231,Glen Eira (C) - Caulfield,Glen Eira (C),8,Gr. Dandenong (C) - Balance,Greater Dandenong (C),9,Vehicle Driver,9.39,30,30,AM Peak (7am to 9am),194.3455744,245.1535481, 
Y09H080231P02JTW1,Y09H080231P02,Y09H080231,Glen Eira (C) - Caulfield,Glen Eira (C),8,Gr. Dandenong (C) - Balance,Greater Dandenong (C),9,Vehicle Passenger,9.39,30,30,AM Peak (7am to 9am),198.4783825,248.6150682, 
Y09H080233P01JTW1,Y09H080233P01,Y09H080233,Glen Eira (C) - Caulfield,Glen Eira (C),6,Brimbank (C) - Keilor,Brimbank (C),7,Vehicle Driver,31.84,50,50,AM Peak (7am to 9am),154.3340383,193.9435124, 
Y09H080233P02JTW1,Y09H080233P02,Y09H080233,Glen Eira (C) - Caulfield,Glen Eira (C),6,Boroondara (C) - Hawthorn,Boroondara (C),6,Vehicle Driver,10.17,15,15,Off Peak,183.7893467,230.2210056, 
Y09H080239P02JTW1,Y09H080239P02,Y09H080239,Glen Eira (C) - Caulfield,Glen Eira (C),8,Port Phillip (C) - West,Port Phillip (C),9,Vehicle Driver,12.74,45,45,AM Peak (7am to 9am),141.540444,202.3855409, 
Y09H080302P01JTW1,Y09H080302P01,Y09H080302,Glen Eira (C) - South,Glen Eira (C),9,Bayside (C) - Brighton,Bayside (C),9,Vehicle Driver,5.31,15,15,Off Peak,108.0072062,144.6642067, 
Y09H080302P02JTW1,Y09H080302P02,Y09H080302,Glen Eira (C) - South,Glen Eira (C),8,Glen Eira (C) - South,Glen Eira (C),8,Walking,1,8,8,AM Peak (7am to 9am),123.5885478,165.0052121, 
Y09H080305P02JTW1,Y09H080305P02,Y09H080305,Glen Eira (C) - South,Glen Eira (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,10.71,30,30,AM Peak (7am to 9am),92.82546315,136.1741498, 
Y09H080308P01JTW1,Y09H080308P01,Y09H080308,Glen Eira (C) - South,Glen Eira (C),5,Melbourne (C) - Southbank & Docklands,Melbourne (C),6,Train,16.14,45,45,Off Peak,110.5388954,147.2426931, 
Y09H080310P01JTW1,Y09H080310P01,Y09H080310,Glen Eira (C) - South,Glen Eira (C),8,Port Phillip (C) - West,Port Phillip (C),9,Bicycle,12.71,65,65,AM Peak (7am to 9am),99.14789479,146.8757879, 
Y09H080310P02JTW1,Y09H080310P02,Y09H080310,Glen Eira (C) - South,Glen Eira (C),6,Port Phillip (C) - West,Port Phillip (C),7,Vehicle Driver,13.21,30,30,AM Peak (7am to 9am),92.26671017,136.9696326, 
Y09H080311P01JTW1,Y09H080311P01,Y09H080311,Glen Eira (C) - South,Glen Eira (C),8,Glen Eira (C) - Caulfield,Glen Eira (C),8,Vehicle Passenger,7.8,16,17,AM Peak (7am to 9am),87.54306523,116.0560215, 
Y09H080311P04JTW1,Y09H080311P04,Y09H080311,Glen Eira (C) - South,Glen Eira (C),11,Stonnington (C) - Malvern,Stonnington (C),11,Train,8.36,45,45,Off Peak,128.3815895,166.4517776, 
Y09H080311P05JTW1,Y09H080311P05,Y09H080311,Glen Eira (C) - South,Glen Eira (C),7,Glen Eira (C) - Caulfield,Glen Eira (C),7,Vehicle Passenger,6.69,30,30,AM Peak (7am to 9am),128.3815895,166.4517776, 
Y09H080316P01JTW1,Y09H080316P01,Y09H080316,Glen Eira (C) - South,Glen Eira (C),6,Melbourne (C) - Remainder,Melbourne (C),7,Train,16.22,53,53,AM Peak (7am to 9am),123.8052635,184.2048432, 
Y09H080316P02JTW1,Y09H080316P02,Y09H080316,Glen Eira (C) - South,Glen Eira (C),8,Whitehorse (C) - Nunawading W.,Whitehorse (C),9,Vehicle Driver,17.07,45,45,AM Peak (7am to 9am),104.4824952,155.1289771, 
Y09H080317P02JTW1,Y09H080317P02,Y09H080317,Glen Eira (C) - South,Glen Eira (C),8,Melbourne (C) - Inner,Melbourne (C),8,Train,14.86,33,33,AM Peak (7am to 9am),168.6898661,247.6707813, 
Y09H080319P02JTW1,Y09H080319P02,Y09H080319,Glen Eira (C) - South,Glen Eira (C),12,Port Phillip (C) - St Kilda,Port Phillip (C),13,Vehicle Driver,9.16,30,30,Off Peak,82.58650952,121.5899673, 
Y09H080323P01JTW1,Y09H080323P01,Y09H080323,Glen Eira (C) - South,Glen Eira (C),8,Glen Eira (C) - Caulfield,Glen Eira (C),9,Vehicle Driver,5.97,15,15,AM Peak (7am to 9am),97.51982948,144.5421466, 
Y09H080326P01JTW1,Y09H080326P01,Y09H080326,Glen Eira (C) - South,Glen Eira (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,18.5,46,46,AM Peak (7am to 9am),85.58054698,126.885788, 
Y09H080336P01JTW1,Y09H080336P01,Y09H080336,Glen Eira (C) - South,Glen Eira (C),8,Monash (C) - South-West,Monash (C),8,Vehicle Driver,4.66,15,15,AM Peak (7am to 9am),106.6716896,141.0972381, 
Y09H080336P04JTW1,Y09H080336P04,Y09H080336,Glen Eira (C) - South,Glen Eira (C),7,Port Phillip (C) - West,Port Phillip (C),8,Tram,12.94,55,55,AM Peak (7am to 9am),193.440324,252.0028208, 
Y09H080403P01JTW1,Y09H080403P01,Y09H080403,Stonnington (C) - Malvern,Stonnington (C),6,Port Phillip (C) - West,Port Phillip (C),6,Vehicle Driver,7.21,30,30,Off Peak,76.3636282,106.1245514, 
Y09H080403P03JTW1,Y09H080403P03,Y09H080403,Stonnington (C) - Malvern,Stonnington (C),5,Banyule (C) - Heidelberg,Banyule (C),6,Vehicle Driver,18.81,35,35,Off Peak,74.47129797,105.3287364, 
Y09H080404P01JTW1,Y09H080404P01,Y09H080404,Stonnington (C) - Malvern,Stonnington (C),7,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,12.79,40,40,AM Peak (7am to 9am),62.98747425,88.72234821, 
Y09H080405P01JTW1,Y09H080405P01,Y09H080405,Stonnington (C) - Malvern,Stonnington (C),7,Melbourne (C) - Inner,Melbourne (C),7,Train,12.73,34,34,AM Peak (7am to 9am),65.70121434,94.16862969, 
Y09H080405P02JTW1,Y09H080405P02,Y09H080405,Stonnington (C) - Malvern,Stonnington (C),7,Melbourne (C) - Remainder,Melbourne (C),7,Vehicle Driver,7.53,16,16,AM Peak (7am to 9am),65.08328366,89.86400119, 
Y09H080416P02JTW1,Y09H080416P02,Y09H080416,Stonnington (C) - Malvern,Stonnington (C),7,Cardinia (S) - Pakenham,Cardinia (S),8,Vehicle Driver,41.78,45,45,AM Peak (7am to 9am),126.3379129,189.1887589, 
Y09H080419P02JTW1,Y09H080419P02,Y09H080419,Stonnington (C) - Malvern,Stonnington (C),9,Stonnington (C) - Malvern,Stonnington (C),9,Vehicle Driver,1.26,5,5,Off Peak,109.9984966,145.196058, 
Y09H080420P02JTW1,Y09H080420P02,Y09H080420,Stonnington (C) - Malvern,Stonnington (C),10,Stonnington (C) - Malvern,Stonnington (C),10,Vehicle Driver,1.56,8,8,Off Peak,80.64758279, ,211.8311503
Y09H080425P01JTW1,Y09H080425P01,Y09H080425,Stonnington (C) - Malvern,Stonnington (C),6,Stonnington (C) - Malvern,Stonnington (C),6,Walking,0.1,5,5,Off Peak,52.264258,74.00909432, 
Y09H080425P02JTW1,Y09H080425P02,Y09H080425,Stonnington (C) - Malvern,Stonnington (C),6,Melbourne (C) - Remainder,Melbourne (C),7,Vehicle Driver,13.02,43,60,AM Peak (7am to 9am),50.4357917,70.92018343, 
Y09H080432P01JTW1,Y09H080432P01,Y09H080432,Stonnington (C) - Malvern,Stonnington (C),9,Melbourne (C) - Inner,Melbourne (C),9,Train,12.19,50,50,Off Peak,52.264258,74.00909432, 
Y09H080432P02JTW1,Y09H080432P02,Y09H080432,Stonnington (C) - Malvern,Stonnington (C),7,Stonnington (C) - Prahran,Stonnington (C),8,Vehicle Driver,5.26,20,20,AM Peak (7am to 9am),50.4357917,70.92018343, 
Y09H080433P02JTW1,Y09H080433P02,Y09H080433,Stonnington (C) - Malvern,Stonnington (C),8,Melbourne (C) - Inner,Melbourne (C),12,Train,35.6,135,250,AM Peak (7am to 9am),118.202105,155.6971792, 
Y09H080437P01JTW1,Y09H080437P01,Y09H080437,Stonnington (C) - Malvern,Stonnington (C),7,Melbourne (C) - Inner,Melbourne (C),7,Vehicle Driver,10.34,30,30,AM Peak (7am to 9am),139.5869058,185.029078, 
Y09H080501P01JTW1,Y09H080501P01,Y09H080501,Bayside (C) - Brighton,Bayside (C),12,Glen Eira (C) - Caulfield,Glen Eira (C),13,Vehicle Driver,1.41,5,5,Off Peak,82.33084587,112.9920194, 
Y09H080504P02JTW1,Y09H080504P02,Y09H080504,Bayside (C) - Brighton,Bayside (C),5,Yarra Ranges (S) - Lilydale,Yarra Ranges (S),6,Vehicle Driver,41.56,60,60,Off Peak,129.4565064,180.4186319, 
Y09H080505P02JTW1,Y09H080505P02,Y09H080505,Bayside (C) - Brighton,Bayside (C),8,Port Phillip (C) - West,Port Phillip (C),8,Vehicle Driver,13.41,35,35,AM Peak (7am to 9am),248.6494572,318.0366665, 
Y09H080506P03JTW1,Y09H080506P03,Y09H080506,Bayside (C) - Brighton,Bayside (C),8,Port Phillip (C) - West,Port Phillip (C),9,Vehicle Driver,13.39,30,30,Off Peak,270.1409515, ,1333.917168
Y09H080510P02JTW1,Y09H080510P02,Y09H080510,Bayside (C) - Brighton,Bayside (C),8,Bayside (C) - Brighton,Bayside (C),8,Vehicle Passenger,3.65,10,10,AM Peak (7am to 9am),123.5692284,173.4780683, 
Y09H080512P01JTW1,Y09H080512P01,Y09H080512,Bayside (C) - Brighton,Bayside (C),9,Melbourne (C) - Inner,Melbourne (C),10,Train,12.97,60,60,Off Peak,154.1991646,205.0829446, 
Y09H080512P02JTW1,Y09H080512P02,Y09H080512,Bayside (C) - Brighton,Bayside (C),8,Melbourne (C) - Inner,Melbourne (C),9,Train,13.01,60,60,AM Peak (7am to 9am),87.65816002,113.0305714, 
Y09H080512P03JTW1,Y09H080512P03,Y09H080512,Bayside (C) - Brighton,Bayside (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,13.17,70,70,AM Peak (7am to 9am),86.52934175,114.1575185, 
Y09H080515P02JTW1,Y09H080515P02,Y09H080515,Bayside (C) - Brighton,Bayside (C),12,Melbourne (C) - Inner,Melbourne (C),13,Train,13.32,42,42,Off Peak,65.32885642,84.04032763, 
Y09H080517P02JTW1,Y09H080517P02,Y09H080517,Bayside (C) - Brighton,Bayside (C),7,Monash (C) - Waverley West,Monash (C),8,Vehicle Driver,12.56,27,30,AM Peak (7am to 9am),109.6136053,155.0315742, 
Y09H080519P01JTW1,Y09H080519P01,Y09H080519,Bayside (C) - Brighton,Bayside (C),11,Hume (C) - Craigieburn,Hume (C),11,Vehicle Driver,31.89,45,45,Off Peak,203.9931574,255.6260132, 
Y09H080530P01JTW1,Y09H080530P01,Y09H080530,Bayside (C) - Brighton,Bayside (C),7,Hume (C) - Broadmeadows,Hume (C),8,Vehicle Driver,29.91,60,60,AM Peak (7am to 9am),79.48330689,106.0708663, 
Y09H080530P02JTW1,Y09H080530P02,Y09H080530,Bayside (C) - Brighton,Bayside (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,15.16,50,50,AM Peak (7am to 9am),76.47546426,101.7310171, 
Y09H080531P01JTW1,Y09H080531P01,Y09H080531,Bayside (C) - Brighton,Bayside (C),7,Stonnington (C) - Prahran,Stonnington (C),7,Vehicle Driver,7.86,15,15,AM Peak (7am to 9am),90.4456731,120.3324573, 
Y09H080531P02JTW1,Y09H080531P02,Y09H080531,Bayside (C) - Brighton,Bayside (C),7,Stonnington (C) - Prahran,Stonnington (C),9,Vehicle Driver,10.21,44,90,AM Peak (7am to 9am),87.02298773,115.4091005, 
Y09H080532P02JTW1,Y09H080532P02,Y09H080532,Bayside (C) - Brighton,Bayside (C),8,Glen Eira (C) - Caulfield,Glen Eira (C),9,Vehicle Driver,1.9,10,10,AM Peak (7am to 9am),102.4922602,143.3539472, 
Y09H080539P02JTW1,Y09H080539P02,Y09H080539,Bayside (C) - Brighton,Bayside (C),8,Casey (C) - Berwick,Casey (C),9,Vehicle Driver,35.57,60,60,AM Peak (7am to 9am),109.8099447,153.8537494, 
Y09H080540P01JTW1,Y09H080540P01,Y09H080540,Bayside (C) - Brighton,Bayside (C),8,Melbourne (C) - Remainder,Melbourne (C),9,Bicycle,13.45,55,60,AM Peak (7am to 9am),129.7940126,177.0023433, 
Y09H080540P02JTW1,Y09H080540P02,Y09H080540,Bayside (C) - Brighton,Bayside (C),11,Stonnington (C) - Prahran,Stonnington (C),12,Vehicle Driver,9.04,34,35,Off Peak,156.4599432,209.0389882, 
Y09H080606P02JTW1,Y09H080606P02,Y09H080606,Stonnington (C) - Prahran,Stonnington (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,3.02,20,20,Off Peak,145.1134484, ,690.144649
Y09H080608P01JTW1,Y09H080608P01,Y09H080608,Stonnington (C) - Prahran,Stonnington (C),7,Melbourne (C) - Remainder,Melbourne (C),7,Vehicle Driver,10.66,30,30,AM Peak (7am to 9am),77.2867168,98.14667657, 
Y09H080608P02JTW1,Y09H080608P02,Y09H080608,Stonnington (C) - Prahran,Stonnington (C),9,Melbourne (C) - Remainder,Melbourne (C),11,Vehicle Driver,14.75,40,135,Off Peak,62.06362291,77.6276683, 
Y09H080609P02JTW1,Y09H080609P02,Y09H080609,Stonnington (C) - Prahran,Stonnington (C),7,Glen Eira (C) - Caulfield,Glen Eira (C),7,Bicycle,2.68,15,15,AM Peak (7am to 9am),220.786645,296.8971997, 
Y09H080616P01JTW1,Y09H080616P01,Y09H080616,Stonnington (C) - Prahran,Stonnington (C),8,Melbourne (C) - Inner,Melbourne (C),9,Train,8,37,84,AM Peak (7am to 9am),190.3946773,246.8473229, 
Y09H080619P02JTW1,Y09H080619P02,Y09H080619,Stonnington (C) - Prahran,Stonnington (C),9,Stonnington (C) - Prahran,Stonnington (C),9,Vehicle Driver,2.31,10,10,Off Peak,97.06813888,123.3792638, 
Y09H080622P01JTW1,Y09H080622P01,Y09H080622,Stonnington (C) - Prahran,Stonnington (C),8,Stonnington (C) - Malvern,Stonnington (C),8,Vehicle Driver,2.67,10,10,AM Peak (7am to 9am),130.6099188,164.825871, 
Y09H080637P01JTW1,Y09H080637P01,Y09H080637,Stonnington (C) - Prahran,Stonnington (C),15,Stonnington (C) - Malvern,Stonnington (C),15,Vehicle Driver,3.79,20,20,PM Peak (3pm to 6pm),153.2372681,198.9383855, 
Y09H080640P01JTW1,Y09H080640P01,Y09H080640,Stonnington (C) - Prahran,Stonnington (C),8,Boroondara (C) - Hawthorn,Boroondara (C),8,Vehicle Driver,5.59,22,22,AM Peak (7am to 9am),164.1788369,206.9796741, 
Y09H080702P01JTW1,Y09H080702P01,Y09H080702,Stonnington (C) - Malvern,Stonnington (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,5.18,15,15,AM Peak (7am to 9am),155.9932152,189.4012416, 
Y09H080715P01JTW1,Y09H080715P01,Y09H080715,Stonnington (C) - Malvern,Stonnington (C),8,Melbourne (C) - Southbank & Docklands,Melbourne (C),9,Vehicle Driver,13.09,58,65,AM Peak (7am to 9am),50.90492358,70.5029371, 
Y09H080715P02JTW1,Y09H080715P02,Y09H080715,Stonnington (C) - Malvern,Stonnington (C),8,Melbourne (C) - Inner,Melbourne (C),8,Train,9.84,40,40,AM Peak (7am to 9am),56.40956179,79.32160033, 
Y09H080719P01JTW1,Y09H080719P01,Y09H080719,Stonnington (C) - Malvern,Stonnington (C),9,Port Phillip (C) - West,Port Phillip (C),9,Vehicle Driver,10.44,28,28,Off Peak,65.25293115,92.85405963, 
Y09H080719P02JTW1,Y09H080719P02,Y09H080719,Stonnington (C) - Malvern,Stonnington (C),8,Boroondara (C) - Hawthorn,Boroondara (C),8,Vehicle Driver,3.69,25,26,AM Peak (7am to 9am),62.78360072,89.05497103, 
Y09H080731P01JTW1,Y09H080731P01,Y09H080731,Stonnington (C) - Malvern,Stonnington (C),8,Melbourne (C) - Inner,Melbourne (C),9,Train,9.34,30,30,AM Peak (7am to 9am),281.8975138,435.9148383, 
Y09H080731P02JTW1,Y09H080731P02,Y09H080731,Stonnington (C) - Malvern,Stonnington (C),8,Melbourne (C) - Remainder,Melbourne (C),9,Train,9.51,28,28,AM Peak (7am to 9am),281.8975138,435.9148383, 
Y09H080740P01JTW1,Y09H080740P01,Y09H080740,Stonnington (C) - Malvern,Stonnington (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,11.36,40,40,AM Peak (7am to 9am),151.3044577,185.8990456, 
Y09H080740P02JTW1,Y09H080740P02,Y09H080740,Stonnington (C) - Malvern,Stonnington (C),7,Melbourne (C) - Inner,Melbourne (C),8,Train,10.35,50,50,AM Peak (7am to 9am),151.3044577,185.8990456, 
Y09H080805P02JTW1,Y09H080805P02,Y09H080805,Bayside (C) - Brighton,Bayside (C),7,Kingston (C) - North,Kingston (C),7,Vehicle Passenger,6.36,10,10,AM Peak (7am to 9am),103.5108715,135.8370295, 
Y09H080806P04JTW1,Y09H080806P04,Y09H080806,Bayside (C) - Brighton,Bayside (C),18,Port Phillip (C) - St Kilda,Port Phillip (C),19,Vehicle Passenger,7.69,10,10,Off Peak,123.7778989, ,420.8090342
Y09H080809P01JTW1,Y09H080809P01,Y09H080809,Bayside (C) - Brighton,Bayside (C),8,Bayside (C) - Brighton,Bayside (C),8,Walking,1.08,7,7,AM Peak (7am to 9am),96.64910711,136.4930977, 
Y09H080809P02JTW1,Y09H080809P02,Y09H080809,Bayside (C) - Brighton,Bayside (C),6,Melbourne (C) - Inner,Melbourne (C),8,Train,18,61,103,AM Peak (7am to 9am),100.1529608,142.4380205, 
Y09H080814P04JTW1,Y09H080814P04,Y09H080814,Bayside (C) - Brighton,Bayside (C),7,Bayside (C) - South,Bayside (C),7,Vehicle Driver,2.63,15,15,Off Peak,99.7484669, ,328.0810153
Y09H080816P01JTW1,Y09H080816P01,Y09H080816,Bayside (C) - Brighton,Bayside (C),9,Kingston (C) - North,Kingston (C),9,Vehicle Driver,6.86,10,10,Off Peak,104.9004616,145.044252, 
Y09H080816P01JTW2,Y09H080816P01,Y09H080816,Bayside (C) - Brighton,Bayside (C),15,Kingston (C) - North,Kingston (C),16,Vehicle Driver,17.94,32,37,PM Peak (3pm to 6pm),104.9004616,145.044252, 
Y09H080818P01JTW1,Y09H080818P01,Y09H080818,Bayside (C) - Brighton,Bayside (C),7,Monash (C) - Waverley West,Monash (C),7,Vehicle Driver,20.74,17,25,AM Peak (7am to 9am),102.1887794,143.4769598, 
Y09H080820P01JTW1,Y09H080820P01,Y09H080820,Bayside (C) - Brighton,Bayside (C),17,Bayside (C) - Brighton,Bayside (C),17,Vehicle Passenger,1.61,5,5,Off Peak,104.7389632, ,295.8198331
Y09H080824P01JTW1,Y09H080824P01,Y09H080824,Bayside (C) - Brighton,Bayside (C),7,Whittlesea (C) - North,Whittlesea (C),8,Vehicle Driver,34.15,60,65,AM Peak (7am to 9am),232.832841,298.7942532, 
Y09H080826P02JTW1,Y09H080826P02,Y09H080826,Bayside (C) - Brighton,Bayside (C),9,Kingston (C) - North,Kingston (C),9,Vehicle Driver,5.95,15,15,Off Peak,86.52934175,114.1575185, 
Y09H080830P01JTW1,Y09H080830P01,Y09H080830,Bayside (C) - Brighton,Bayside (C),8,Bayside (C) - Brighton,Bayside (C),8,Vehicle Driver,3.41,10,10,AM Peak (7am to 9am),114.9415762,162.3267122, 
Y09H080832P01JTW1,Y09H080832P01,Y09H080832,Bayside (C) - Brighton,Bayside (C),8,Port Phillip (C) - West,Port Phillip (C),11,Vehicle Driver,16.07,81,210,AM Peak (7am to 9am),108.3693519,167.8674152, 
Y09H080832P02JTW1,Y09H080832P02,Y09H080832,Bayside (C) - Brighton,Bayside (C),9,Bayside (C) - Brighton,Bayside (C),11,Vehicle Passenger,13.86,50,170,Off Peak,83.16606145,126.8863019, 
Y09H080836P01JTW1,Y09H080836P01,Y09H080836,Bayside (C) - Brighton,Bayside (C),8,Port Phillip (C) - West,Port Phillip (C),8,Vehicle Driver,10.15,20,20,AM Peak (7am to 9am),86.76951309,122.0705363, 
Y09H080836P02JTW1,Y09H080836P02,Y09H080836,Bayside (C) - Brighton,Bayside (C),7,Bayside (C) - Brighton,Bayside (C),7,Vehicle Driver,2.06,10,10,AM Peak (7am to 9am),80.7474282,113.837391, 
Y09H080910P01JTW1,Y09H080910P01,Y09H080910,Bayside (C) - South,Bayside (C),7,Melbourne (C) - Remainder,Melbourne (C),8,Train,16.99,50,60,AM Peak (7am to 9am),246.9027627,319.586123, 
Y09H080922P03JTW1,Y09H080922P03,Y09H080922,Bayside (C) - South,Bayside (C),7,Bayside (C) - Brighton,Bayside (C),8,Vehicle Driver,10.75,15,20,AM Peak (7am to 9am),168.0511448,235.9660727, 
Y09H080930P02JTW1,Y09H080930P02,Y09H080930,Bayside (C) - South,Bayside (C),7,Port Phillip (C) - St Kilda,Port Phillip (C),8,Train,15.8,50,50,AM Peak (7am to 9am),318.2435435,421.8492568, 
Y09H080933P01JTW1,Y09H080933P01,Y09H080933,Bayside (C) - South,Bayside (C),7,Brimbank (C) - Sunshine,Brimbank (C),8,Vehicle Driver,32.61,65,70,AM Peak (7am to 9am),341.3119408,517.8608702, 
Y09H080933P02JTW1,Y09H080933P02,Y09H080933,Bayside (C) - South,Bayside (C),7,Port Phillip (C) - St Kilda,Port Phillip (C),8,Vehicle Driver,12.24,20,20,AM Peak (7am to 9am),424.313405,639.2917119, 
Y09H081003P01JTW1,Y09H081003P01,Y09H081003,Glen Eira (C) - Caulfield,Glen Eira (C),8,Boroondara (C) - Kew,Boroondara (C),9,Vehicle Driver,8.39,30,30,AM Peak (7am to 9am),258.9067126,350.6278962, 
