JTWID,PERSID,HHID,ORIGSLA,ORIGLGA,STARTHOUR,DESTSLA,DESTLGA,ARRHOUR,JTWMODE,JTWDIST,JTWTravelTime,JTWElapsedTime,TRAVELPERIOD,ADJTWWGT,WDJTWWGT,WEJTWWGT
Y09H152321P03JTW1,Y09H152321P03,Y09H152321,Ballarat (C) - Central,Ballarat (C),23,Ballarat (C) - Inner North,Ballarat (C),23,Vehicle Passenger,2.76,10,10,Off Peak,34.9385484, ,140.8855855
Y09H152334P03JTW1,Y09H152334P03,Y09H152334,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - Inner North,Ballarat (C),7,Vehicle Driver,5.07,20,20,Off Peak,58.35604865, ,201.2729535
Y09H152336P02JTW1,Y09H152336P02,Y09H152336,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,3.44,5,5,AM Peak (7am to 9am),27.75562405,39.15466443, 
Y09H152404P02JTW1,Y09H152404P02,Y09H152404,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),9,Vehicle Driver,16.39,34,35,AM Peak (7am to 9am),26.31237769,34.16883842, 
Y09H152415P01JTW1,Y09H152415P01,Y09H152415,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),8,Vehicle Driver,5.39,10,13,AM Peak (7am to 9am),35.26268472,46.75832357, 
Y09H152415P02JTW1,Y09H152415P02,Y09H152415,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - Inner North,Ballarat (C),8,Vehicle Driver,7.1,13,13,AM Peak (7am to 9am),30.47688086,39.75099795, 
Y09H152417P03JTW1,Y09H152417P03,Y09H152417,Ballarat (C) - Central,Ballarat (C),9,Ballarat (C) - Central,Ballarat (C),9,Vehicle Passenger,2.96,9,9,Off Peak,25.32450284,33.00597681, 
Y09H152418P01JTW1,Y09H152418P01,Y09H152418,Ballarat (C) - Central,Ballarat (C),9,Ballarat (C) - South,Ballarat (C),9,Vehicle Driver,9.27,15,15,Off Peak,25.31084721,34.4539757, 
Y09H152420P02JTW1,Y09H152420P02,Y09H152420,Ballarat (C) - Central,Ballarat (C),13,Ballarat (C) - Central,Ballarat (C),13,Vehicle Driver,0.63,5,5,Off Peak,41.14158005, ,166.7749718
Y09H152423P01JTW1,Y09H152423P01,Y09H152423,Ballarat (C) - Central,Ballarat (C),6,Ballarat (C) - Central,Ballarat (C),6,Vehicle Driver,2.04,15,15,Off Peak,33.56270868,48.10823802, 
Y09H152432P01JTW1,Y09H152432P01,Y09H152432,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),9,Vehicle Driver,8.93,20,20,AM Peak (7am to 9am),26.31237769,34.16883842, 
Y09H152432P02JTW1,Y09H152432P02,Y09H152432,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - South,Ballarat (C),8,Vehicle Driver,2.45,10,10,AM Peak (7am to 9am),31.53613408,42.63999028, 
Y09H152433P01JTW1,Y09H152433P01,Y09H152433,Ballarat (C) - Central,Ballarat (C),13,Ballarat (C) - Inner North,Ballarat (C),13,Vehicle Driver,7.18,10,10,Off Peak,36.43543731,48.2878649, 
Y09H152503P01JTW1,Y09H152503P01,Y09H152503,Ballarat (C) - South,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,7.05,17,26,AM Peak (7am to 9am),55.33476148,75.06450988, 
Y09H152529P02JTW1,Y09H152529P02,Y09H152529,Ballarat (C) - South,Ballarat (C),6,Ballarat (C) - Central,Ballarat (C),6,Vehicle Passenger,4.5,10,10,Off Peak,35.00171687,51.00252511, 
Y09H152531P01JTW1,Y09H152531P01,Y09H152531,Ballarat (C) - South,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,9.61,15,15,Off Peak,29.03024411,42.33090437, 
Y09H152531P02JTW1,Y09H152531P02,Y09H152531,Ballarat (C) - South,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,7.94,15,15,Off Peak,55.6808653,80.89278197, 
Y09H152615P02JTW1,Y09H152615P02,Y09H152615,Ballarat (C) - South,Ballarat (C),5,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,10.45,15,15,Off Peak,157.51413,184.2326961, 
Y09H152632P02JTW1,Y09H152632P02,Y09H152632,Ballarat (C) - South,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,6.6,8,8,Off Peak,140.9456861,164.0761366, 
Y09H152701P01JTW1,Y09H152701P01,Y09H152701,Ballarat (C) - Central,Ballarat (C),6,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,2.65,5,5,Off Peak,29.46771262,38.36318256, 
Y09H152702P01JTW1,Y09H152702P01,Y09H152702,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,1.59,10,10,AM Peak (7am to 9am),35.65659337,53.47940976, 
Y09H152719P02JTW1,Y09H152719P02,Y09H152719,Ballarat (C) - Central,Ballarat (C),13,Ballarat (C) - Central,Ballarat (C),13,Vehicle Driver,2.99,10,10,Off Peak,29.47236008,39.40912707, 
Y09H152719P02JTW2,Y09H152719P02,Y09H152719,Ballarat (C) - Central,Ballarat (C),17,Ballarat (C) - Central,Ballarat (C),17,Vehicle Driver,2.99,5,5,PM Peak (3pm to 6pm),29.47236008,39.40912707, 
Y09H152723P01JTW1,Y09H152723P01,Y09H152723,Ballarat (C) - Central,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,6.96,12,12,Off Peak,26.81960897,35.52444989, 
Y09H152733P01JTW1,Y09H152733P01,Y09H152733,Ballarat (C) - Central,Ballarat (C),8,Golden Plains (S) - North-West,Golden Plains (S),8,Vehicle Driver,14.03,20,20,AM Peak (7am to 9am),33.44750755,44.41763246, 
Y09H152739P01JTW1,Y09H152739P01,Y09H152739,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),7,Bicycle,2.18,10,10,AM Peak (7am to 9am),27.62698403,38.70586958, 
Y09H152804P01JTW1,Y09H152804P01,Y09H152804,Ballarat (C) - Inner North,Ballarat (C),7,Ballarat (C) - South,Ballarat (C),7,Vehicle Driver,11.48,15,15,AM Peak (7am to 9am),32.85742093,43.70068445, 
Y09H152804P02JTW1,Y09H152804P02,Y09H152804,Ballarat (C) - Inner North,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,3.94,10,10,AM Peak (7am to 9am),31.04424846,41.88177554, 
Y09H152808P01JTW1,Y09H152808P01,Y09H152808,Ballarat (C) - Inner North,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,4.23,10,10,AM Peak (7am to 9am),30.20820009,40.89229004, 
Y09H152810P01JTW1,Y09H152810P01,Y09H152810,Ballarat (C) - Inner North,Ballarat (C),6,Ballarat (C) - Central,Ballarat (C),6,Vehicle Driver,4.16,15,15,Off Peak,31.62361793,42.39861111, 
Y09H152810P02JTW1,Y09H152810P02,Y09H152810,Ballarat (C) - Inner North,Ballarat (C),8,Ballarat (C) - Inner North,Ballarat (C),8,Vehicle Driver,5.67,10,10,AM Peak (7am to 9am),29.87853047,40.63389707, 
Y09H152818P01JTW1,Y09H152818P01,Y09H152818,Ballarat (C) - Inner North,Ballarat (C),6,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,4.58,15,15,AM Peak (7am to 9am),32.85742093,43.70068445, 
Y09H152825P01JTW1,Y09H152825P01,Y09H152825,Ballarat (C) - Inner North,Ballarat (C),10,Ballarat (C) - Central,Ballarat (C),10,Vehicle Driver,5.05,10,10,Off Peak,36.21828987,47.80844189, 
Y09H152833P01JTW1,Y09H152833P01,Y09H152833,Ballarat (C) - Inner North,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,12.36,40,40,AM Peak (7am to 9am),33.9773285,44.25696375, 
Y09H152833P02JTW1,Y09H152833P02,Y09H152833,Ballarat (C) - Inner North,Ballarat (C),7,Ballarat (C) - South,Ballarat (C),8,Vehicle Driver,7.77,30,30,AM Peak (7am to 9am),39.31280987,52.05860326, 
Y09H152842P01JTW1,Y09H152842P01,Y09H152842,Ballarat (C) - Inner North,Ballarat (C),13,Ballarat (C) - Central,Ballarat (C),14,Vehicle Driver,5.2,15,15,Off Peak,49.9899935, ,137.1596026
Y09H152901P03JTW1,Y09H152901P03,Y09H152901,Ballarat (C) - Inner North,Ballarat (C),6,Ballarat (C) - Central,Ballarat (C),6,Vehicle Passenger,7.09,20,20,Off Peak,37.74719617,51.61554134, 
Y09H152912P01JTW1,Y09H152912P01,Y09H152912,Ballarat (C) - Inner North,Ballarat (C),7,Ballarat (C) - Inner North,Ballarat (C),7,Walking,1.51,20,20,AM Peak (7am to 9am),55.57878275,84.98575603, 
Y09H152912P02JTW1,Y09H152912P02,Y09H152912,Ballarat (C) - Inner North,Ballarat (C),15,Ballarat (C) - Inner North,Ballarat (C),15,Vehicle Driver,2.43,10,10,PM Peak (3pm to 6pm),64.99338095,100.8080949, 
Y09H152916P01JTW1,Y09H152916P01,Y09H152916,Ballarat (C) - Inner North,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,4.07,10,10,AM Peak (7am to 9am),39.49715465,51.88834526, 
Y09H152916P01JTW2,Y09H152916P01,Y09H152916,Ballarat (C) - Inner North,Ballarat (C),12,Ballarat (C) - Central,Ballarat (C),13,Vehicle Driver,4.07,10,10,Off Peak,39.49715465,51.88834526, 
Y09H152916P02JTW1,Y09H152916P02,Y09H152916,Ballarat (C) - Inner North,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,2.82,5,5,Off Peak,35.87264154,47.47870922, 
Y09H152917P01JTW1,Y09H152917P01,Y09H152917,Ballarat (C) - Inner North,Ballarat (C),6,Ballarat (C) - South,Ballarat (C),6,Vehicle Driver,7.93,20,20,Off Peak,50.59487682,67.33214291, 
